"","Country","WDPAID","NAME","DESIG","PA.Name","paper","Grouping"
"259","Canada",101709,"Santa Gertrudis-Boca Del Infierno Park","A - Park","Santa Gertrudis-Boca Del Infierno Park A - Park","101709_Santa Boca Provincial Park_PS_ZP.pdf","Canada"
"261","Canada",65371,"Rathtrevor Beach Park","A - Park","Rathtrevor Beach Park A - Park","65371_Rathtrevor Beach_MP.pdf","Canada"
"262","Canada",101598,"Brooks Peninsula Park [a.k.a. Muqqiwn Park]","A - Park","Brooks Peninsula Park [a.k.a. Muqqiwn Park] A - Park","101598_mquqwin-brooks-mp.pdf","Canada"
"263","Canada",65386,"Saltery Bay Park","A - Park","Saltery Bay Park A - Park","65386_Saltery Bay_MP.pdf","Canada"
"264","Canada",101666,"Quatsino Park","A - Park","Quatsino Park A - Park","101666_Quatsino Provincial Park_PS_ZP.pdf","Canada"
"265","Canada",555516358,"Allison Harbour Marine Park","A - Park","Allison Harbour Marine Park A - Park","555516212_5555215_555516358_Ugwiwa-Cape-Caution-Allison-Conservancy_MP.pdf","Canada"
"268","Canada",13103,"Plumper Cove Marine Park","A - Park","Plumper Cove Marine Park A - Park","13103_Plumper Cove Marine Park_MP.pdf","Canada"
"272","Canada",555516363,"Lax Kwil Dziidz/Fin Conservancy","Conservancy","Lax Kwil Dziidz/Fin Conservancy Conservancy","555516363_Lax-kwill-dziidz-Fin Conservancy_MP.pdf","Canada"
"273","Canada",101597,"Bligh Island Marine Park","A - Park","Bligh Island Marine Park A - Park","101597_Bligh Island Marine Provincial Park_PS_ZP.pdf","Canada"
"275","Canada",13101,"Princess Louisa Marine Park","A - Park","Princess Louisa Marine Park A - Park","13101_Princess Louisa Marine Provincial Park_PS_ZP.pdf","Canada"
"276","Canada",99806,"Dawley Passage Park","A - Park","Dawley Passage Park A - Park","99806_Dawley Passage Provincial Park_PS_ZP.pdf","Canada"
"278","Canada",18197,"Wallace Bay National Wildlife Area","National Wildlife Area","Wallace Bay National Wildlife Area National Wildlife Area","18197_WallaceBay_NWA.pdf","Canada"
"279","Canada",101667,"Rock Bay Marine Park","A - Park","Rock Bay Marine Park A - Park","101667_RockBay_PS_ZP.pdf","Canada"
"281","Canada",65172,"Drumbeg Park","A - Park","Drumbeg Park A - Park","65172_65206_Drumbeg and Gabriola_MP.pdf","Canada"
"283","Canada",555558198,"Tarium Niryutait Marine Protected Area","Marine Protected Area","Tarium Niryutait Marine Protected Area Marine Protected Area","555558198_TariumNiryutait_MPA.pdf","Canada"
"284","Canada",632,"Kouchibouguac National Park Of Canada","National Park","Kouchibouguac National Park Of Canada National Park","632_B_Kouchibouguac_National_Park_Of_Canada.pdf","Canada"
"285","Canada",555516422,"Ukkusiksalik National Park Of Canada","National Park","Ukkusiksalik National Park Of Canada National Park","555516422_Ukkusiksalik_National_Park_of_Canada.pdf","Canada"
"288","Canada",65294,"Miracle Beach Park","A - Park","Miracle Beach Park A - Park","65294_Miracle Beach Provincial Park_MP.pdf","Canada"
"289","Canada",65206,"Gabriola Sands Park","A - Park","Gabriola Sands Park A - Park","65172_65206_Drumbeg and Gabriola_MP.pdf","Canada"
"290","Canada",65470,"Whaleboat Island Marine Park","A - Park","Whaleboat Island Marine Park A - Park","65470_Whaleboat Island Marine Provincial Park_PS_ZP.pdf","Canada"
"293","Canada",303212,"Lanz And Cox Islands Park","A - Park","Lanz And Cox Islands Park A - Park","303212_Lanz and Cox Islands Provincial Park_PS_ZP.pdf","Canada"
"294","Canada",65360,"Porteau Cove Park","A - Park","Porteau Cove Park A - Park","65360_Porteau Cove Provincial Park_MP.pdf","Canada"
"295","Canada",67042,"Harmony Islands Marine Park","A - Park","Harmony Islands Marine Park A - Park","67042_harmony_ps_zp.pdf","Canada"
"296","Canada",67052,"Raft Cove Park","A - Park","Raft Cove Park A - Park","67052_Raft Cove Provincial Park_MP.pdf","Canada"
"301","Canada",18426,"Tow Hill Ecological Reserve","Ecological Reserve","Tow Hill Ecological Reserve Ecological Reserve","4184_18426_Naikoon_TowHill_RoseSpit_MP.pdf","Canada"
"303","Canada",65277,"Maquinna Marine Park","A - Park","Maquinna Marine Park A - Park","65277_Maquinna Provincial Park_PS_ZP.pdf","Canada"
"304","Canada",100676,"Aulavik National Park Of Canada","National Park","Aulavik National Park Of Canada National Park","100676_Aulavik_National_Park_of_Canada.pdf","Canada"
"307","Canada",65221,"Helliwell Park","A - Park","Helliwell Park A - Park","65221_Helliwell Provincial Park_PS_ZP.pdf","Canada"
"308","Canada",555516400,"Wakes Cove Park","A - Park","Wakes Cove Park A - Park","555516400_Wakes Cove Park_MP.pdf","Canada"
"309","Canada",101713,"Surge Narrows Park","A - Park","Surge Narrows Park A - Park","101713_Surge Narrows_PS_ZP.pdf","Canada"
"310","Canada",99839,"Vargas Island Park","A - Park","Vargas Island Park A - Park","99839_Vargas Island Provincial Park_PS_ZP.pdf","Canada"
"311","Canada",18394,"Oak Bay Islands Ecological Reserve","Ecological Reserve","Oak Bay Islands Ecological Reserve Ecological Reserve","18394_oakbay_ps.pdf","Canada"
"313","Canada",19962,"Cape Parry Migratory Bird Sanctuary","Migratory Bird Sanctuary","Cape Parry Migratory Bird Sanctuary Migratory Bird Sanctuary","18701_19962_BanksIsland-CapeParry_MBS.pdf","Canada"
"314","Canada",99836,"Sydney Inlet Park","A - Park","Sydney Inlet Park A - Park","99836_SydneyInlet_PS_ZP.pdf","Canada"
"315","Canada",305214,"Gully Marine Protected Area","Marine Protected Area","Gully Marine Protected Area Marine Protected Area","305214_Gully_MPA.pdf","Canada"
"317","Canada",18144,"Witless Bay Ecological Reserve","Ecological Reserve","Witless Bay Ecological Reserve Ecological Reserve","18144_Witless_Bay_Ecological_Reserve.pdf","Canada"
"318","Canada",101635,"Catala Island Marine Park","A - Park","Catala Island Marine Park A - Park","101635_Catala Island Marine Provincial Park_PS_ZP.pdf","Canada"
"319","Canada",305170,"Lawn Point Park","A - Park","Lawn Point Park A - Park","305170_Lawn Point Provincial Park_PS_ZP.pdf","Canada"
"320","Canada",555557368,"Daawuuxusda Conservancy","Conservancy","Daawuuxusda Conservancy Conservancy","555557368_Daawuuxusda Conservancy_MP.pdf","Canada"
"321","Canada",555516212,"Ugwiwey/Cape Caution-Blunden Bay Conservancy","Conservancy","Ugwiwey/Cape Caution-Blunden Bay Conservancy Conservancy","555516212_5555215_555516358_Ugwiwa-Cape-Caution-Allison-Conservancy_MP.pdf","Canada"
"322","Canada",167502,"Rendezvous Island South Park","A - Park","Rendezvous Island South Park A - Park","167502_Rendezvous Island_PS-ZP.pdf","Canada"
"323","Canada",101417,"Hudson Rocks Ecological Reserve","Ecological Reserve","Hudson Rocks Ecological Reserve Ecological Reserve","101417_Hudson Rocks ER_PS.pdf","Canada"
"325","Canada",65446,"Tribune Bay Park","A - Park","Tribune Bay Park A - Park","65446_tribune-bay_mp.pdf","Canada"
"327","Canada",555515511,"Lawn Bay Ecological Reserve","Ecological Reserve","Lawn Bay Ecological Reserve Ecological Reserve","555515511_Lawn_Bay_Ecological_Reserve.pdf","Canada"
"331","Canada",18401,"Robson Bight (Michael Bigg) Ecologcial Reserve","Ecological Reserve","Robson Bight (Michael Bigg) Ecologcial Reserve Ecological Reserve","18401_robsonbight_ps.pdf","Canada"
"332","Canada",101679,"Juan De Fuca Park","A - Park","Juan De Fuca Park A - Park","101679_juan_ps_zp.pdf","Canada"
"333","Canada",555516359,"K'nabiyaaxl/Ashdown Conservancy","Conservancy","K'nabiyaaxl/Ashdown Conservancy Conservancy","555516359_k-nabiyaaxl-ashdown-mp.pdf","Canada"
"334","Canada",101586,"Wapusk National Park Of Canada","National Park","Wapusk National Park Of Canada National Park","101586_Wapusk_National_Park_of_Canada.pdf","Canada"
"337","Ghana",67969,"Songor Lagoon","Ramsar Site, Wetland of International Importance","Songor Lagoon Ramsar Site, Wetland of International Importance","Multiple_Ghana_wetlands_Ramsar.pdf","Africa"
"338","Ghana",67966,"Muni Lagoon","Ramsar Site, Wetland of International Importance","Muni Lagoon Ramsar Site, Wetland of International Importance","Multiple_Ghana_wetlands_Ramsar.pdf","Africa"
"339","Ghana",67968,"Sakumo Lagoon","Ramsar Site, Wetland of International Importance","Sakumo Lagoon Ramsar Site, Wetland of International Importance","Multiple_Ghana_wetlands_Ramsar.pdf","Africa"
"340","Ghana",67967,"Densu delta","Ramsar Site, Wetland of International Importance","Densu delta Ramsar Site, Wetland of International Importance","Multiple_Ghana_wetlands_Ramsar.pdf","Africa"
"341","Gibraltar",555536253,"Southern Waters Of Gibraltar","Site of Community Importance (Habitats Directive)","Southern Waters Of Gibraltar Site of Community Importance (Habitats Directive)","555536253_Southern_Waters_of_Gibraltar_Management_Scheme_2012.pdf","Europe"
"342","Grenada",555624224,"Molinier-Beausejour","Specially Protected Area (Cartagena Convention)","Molinier-Beausejour Specially Protected Area (Cartagena Convention)","555624224_Molinier-Beausejour.pdf","Caribbean"
"353","Ireland",555527951,"Ardmore Head SAC","Site of Community Importance (Habitats Directive)","Ardmore Head SAC Site of Community Importance (Habitats Directive)","555527951_Ardmore Head.pdf","Europe"
"358","Ireland",555556924,"Ballyness Bay","Marine Protected Area (OSPAR)","Ballyness Bay Marine Protected Area (OSPAR)","555556924_Ballyness_Bay.pdf","Europe"
"360","Ireland",555527892,"Streedagh Point Dunes SAC","Site of Community Importance (Habitats Directive)","Streedagh Point Dunes SAC Site of Community Importance (Habitats Directive)","555527892_Streedagh Point.pdf","Europe"
"361","Ireland",555527922,"Ballyhoorisky Point to Fanad Head SAC","Site of Community Importance (Habitats Directive)","Ballyhoorisky Point to Fanad Head SAC Site of Community Importance (Habitats Directive)","555527922_Ballyhoorisky Point.pdf","Europe"
"365","Ireland",555527854,"Termon Strand SAC","Site of Community Importance (Habitats Directive)","Termon Strand SAC Site of Community Importance (Habitats Directive)","555527854_Termon Strand.pdf","Europe"
"368","Marshall Islands",555583308,"Ailinginae","Conservation Area","Ailinginae Conservation Area","555583308_Ailinginae_Atoll_Conservation_Management_Plan.pdf","Oceania"
"369","Marshall Islands",555555577,"Namdrik","Ramsar Site, Wetland of International Importance","Namdrik Ramsar Site, Wetland of International Importance","555555577_Namdrik Atoll Resources Management Plan.pdf","Oceania"
"370","Marshall Islands",555592845,"Majuro","Conservation Area","Majuro Conservation Area","555592845_Bikirin_Island_Majuro.pdf","Oceania"
"371","Marshall Islands",555583329,"Jaluit","Conservation Area","Jaluit Conservation Area","555583329_Jaluit.pdf","Oceania"
"372","Marshall Islands",902678,"Jaluit","Ramsar Site, Wetland of International Importance","Jaluit Ramsar Site, Wetland of International Importance","555583329_Jaluit.pdf","Oceania"
"374","Marshall Islands",555556766,"Bikini","Conservation Area","Bikini Conservation Area","555556766_Bikini Atoll Conservation Management Plan Jan 21 2010.pdf","Oceania"
"375","Marshall Islands",555583334,"Likiep Atoll","Conservation Area","Likiep Atoll Conservation Area","555583334_Likiep Fisheries Management Plan.pdf","Oceania"
"377","Mexico",306793,"El VizcaÃ­no","Reserva de la Biosfera","El VizcaÃ­no Reserva de la Biosfera","306793_El_Vizcaino.pdf","C.Amer.-Mex."
"378","Mexico",107706,"Islas Marietas","Parque Nacional","Islas Marietas Parque Nacional","107706_Islas_Marietas.pdf","C.Amer.-Mex."
"379","Mexico",20064,"La Encrucijada","Reserva de la Biosfera","La Encrucijada Reserva de la Biosfera","20064_La_Encrucijada.pdf","C.Amer.-Mex."
"383","Netherlands",555624206,"Man o War Shoal Marine Park","Specially Protected Area (Cartagena Convention)","Man o War Shoal Marine Park Specially Protected Area (Cartagena Convention)","555624206_Man o War Shoal Marine Park.pdf","Europe"
"384","Netherlands",555624212,"Saba","Specially Protected Area (Cartagena Convention)","Saba Specially Protected Area (Cartagena Convention)","555624212_Saba_Bank.pdf","Europe"
"395","Netherlands",555557231,"Doggerbank","Marine Protected Area (OSPAR)","Doggerbank Marine Protected Area (OSPAR)","Multiple_Netherlands_North Sea_integrated_management_plan.pdf","Europe"
"409","Netherlands",555542259,"Waddenzee","Special Protection Area (Birds Directive)","Waddenzee Special Protection Area (Birds Directive)","555542259_Wadden_Sea_Waddenzee.pdf","Europe"
"410","Netherlands",555536918,"Waddenzee","Site of Community Importance (Habitats Directive)","Waddenzee Site of Community Importance (Habitats Directive)","555542259_Wadden_Sea_Waddenzee.pdf","Europe"
"411","Netherlands",68102,"Wadden Sea","Ramsar Site, Wetland of International Importance","Wadden Sea Ramsar Site, Wetland of International Importance","555542259_Wadden_Sea_Waddenzee.pdf","Europe"
"413","Netherlands",555557049,"Klaverbank","Marine Protected Area (OSPAR)","Klaverbank Marine Protected Area (OSPAR)","Multiple_Netherlands_North Sea_integrated_management_plan.pdf","Europe"
"415","Netherlands",900752,"North Sea Coastal Area","Ramsar Site, Wetland of International Importance","North Sea Coastal Area Ramsar Site, Wetland of International Importance","Multiple_Netherlands_North Sea_integrated_management_plan.pdf","Europe"
"417","Philippines",198330,"Tubbataha Reefs Natural Park","Ramsar Site, Wetland of International Importance","Tubbataha Reefs Natural Park Ramsar Site, Wetland of International Importance","198330_Tubbataha_Reefs_Natural_Park.pdf","Asia"
"419","Philippines",95368,"Olango Island Wildlife Sanctuary","Ramsar Site, Wetland of International Importance","Olango Island Wildlife Sanctuary Ramsar Site, Wetland of International Importance","95368_Olango_Island_Wildlife_Sanctuary.pdf","Asia"
"420","Saint Helena",478034,"Gough Island","Ramsar Site, Wetland of International Importance","Gough Island Ramsar Site, Wetland of International Importance","478034_Gough_and_Inaccessible_Island.pdf","Africa"
"421","Saint Helena",478035,"Inaccessible Island","Ramsar Site, Wetland of International Importance","Inaccessible Island Ramsar Site, Wetland of International Importance","478034_Gough_and_Inaccessible_Island.pdf","Africa"
"423","Seychelles",555542730,"Aldabra Atoll","Ramsar Site, Wetland of International Importance","Aldabra Atoll Ramsar Site, Wetland of International Importance","555542730_Aldabra_Atoll.pdf","Africa"
"425","St. Lucia",900706,"Savannes Bay","Ramsar Site, Wetland of International Importance","Savannes Bay Ramsar Site, Wetland of International Importance","900706_Pointe_Sable_Environmental_Protection_Area.pdf","Caribbean"
"426","St. Lucia",900707,"Mankòté Mangrove","Ramsar Site, Wetland of International Importance","Mankòté Mangrove Ramsar Site, Wetland of International Importance","900706_Pointe_Sable_Environmental_Protection_Area.pdf","Caribbean"
"427","St. Vincent and the Grenadines",555624230,"Tobago Cays-Mayreau","Specially Protected Area (Cartagena Convention)","Tobago Cays-Mayreau Specially Protected Area (Cartagena Convention)","555624230_Tobago_Cays_Marine_Park.pdf","Caribbean"
"428","Sudan",9048,"Sanganeb Atoll","Marine National Park","Sanganeb Atoll Marine National Park","9048_Sanganeb_Atoll.pdf","Africa"
"429","Tanzania",72397,"Chumbe Island Coral Park (CHICOP)","Sanctuary and Closed Forest Reserve","Chumbe Island Coral Park (CHICOP) Sanctuary and Closed Forest Reserve","72397_Chumbe_Island_Coral_Park.pdf","Africa"
"431","United Kingdom",555583007,"Blackwater, Crouch, Roach and Colne Estuaries","Marine Protected Area (OSPAR)","Blackwater, Crouch, Roach and Colne Estuaries Marine Protected Area (OSPAR)","Advice_555583007_Blackwater, Crouch, Roach and Colne Estuaries_NaturalEngland.pdf","UK"
"432","United Kingdom",555556947,"Cardigan Bay / Bae Ceredigion","Marine Protected Area (OSPAR)","Cardigan Bay / Bae Ceredigion Marine Protected Area (OSPAR)","Advice_555556947_Cardigan_Bay_CCW.pdf","UK"
"433","United Kingdom",555557138,"Ribble and Alt Estuaries","Marine Protected Area (OSPAR)","Ribble and Alt Estuaries Marine Protected Area (OSPAR)","Advice_555557138_Ribble and Alt Estuaries_NaturalEngland.pdf","UK"
"434","United Kingdom",555541800,"Alde-Ore Estuary","Special Protection Area (Birds Directive)","Alde-Ore Estuary Special Protection Area (Birds Directive)","Advice_555556915_Alde_Ore_Estuary_NaturalEngland.pdf","UK"
"435","United Kingdom",555557043,"Kenfig / Cynffig","Marine Protected Area (OSPAR)","Kenfig / Cynffig Marine Protected Area (OSPAR)","555557043_Kenfig_Cynffig.pdf","UK"
"436","United Kingdom",555557058,"Larne Lough","Marine Protected Area (OSPAR)","Larne Lough Marine Protected Area (OSPAR)","555557058_Larne_Lough.pdf","UK"
"437","United Kingdom",555557015,"Hamford Water","Marine Protected Area (OSPAR)","Hamford Water Marine Protected Area (OSPAR)","Advice_555557015_Hamford_Water_NaturalEngland.pdf","UK"
"438","United Kingdom",555556935,"Blackwater Estuary (Mid-Essex Coast Phase 4)","Marine Protected Area (OSPAR)","Blackwater Estuary (Mid-Essex Coast Phase 4) Marine Protected Area (OSPAR)","Advice_555556935_Blackwater Estuary_Mid-Essex Coast Phase 4_NaturalEngland.pdf","UK"
"439","United Kingdom",220093,"Firth of Tay and Eden Estuary","Ramsar Site, Wetland of International Importance","Firth of Tay and Eden Estuary Ramsar Site, Wetland of International Importance","Advice_555556995_Firth_of_Tay_and_Eden_Estuary.pdf","UK"
"441","United Kingdom",555557066,"Loch Laxford","Marine Protected Area (OSPAR)","Loch Laxford Marine Protected Area (OSPAR)","Advice_555557066_Loch_Laxford.pdf","UK"
"443","United Kingdom",555557164,"Solent and Southampton Water","Marine Protected Area (OSPAR)","Solent and Southampton Water Marine Protected Area (OSPAR)","Advice_555557164_Solent and Southampton Water_NaturalEngland.pdf","UK"
"445","United Kingdom",555583057,"Norwegian Boundary Sediment Plain","Marine Protected Area (OSPAR)","Norwegian Boundary Sediment Plain Marine Protected Area (OSPAR)","Advice_555583057_Norwegian_Boundary_Sediment_Plain_Combo.pdf","UK"
"446","United Kingdom",555557072,"Lough Foyle","Marine Protected Area (OSPAR)","Lough Foyle Marine Protected Area (OSPAR)","220065_Lough_Foyle.pdf","UK"
"448","United Kingdom",555556951,"Chesil Beach and The Fleet","Marine Protected Area (OSPAR)","Chesil Beach and The Fleet Marine Protected Area (OSPAR)","Advice_555556951_ChesilBeach_ and_the_Fleet_NaturalEngland.pdf","UK"
"449","United Kingdom",555556984,"Essex Estuaries","Marine Protected Area (OSPAR)","Essex Estuaries Marine Protected Area (OSPAR)","Advice_555556984_Essex_Estuaries_NaturalEngland.pdf","UK"
"450","United Kingdom",555583054,"Geikie Slide and Hebridean Slope","Marine Protected Area (OSPAR)","Geikie Slide and Hebridean Slope Marine Protected Area (OSPAR)","Advice_555583054_Geikie_Slide_Hebridean_Slope_Combo.pdf","UK"
"451","United Kingdom",555588151,"Coquet to St. Mary's","Marine Conservation Zone","Coquet to St. Mary's Marine Conservation Zone","Advice_555588151_Coquet to St. Mary's_NaturalEngland.pdf","UK"
"452","United Kingdom",555557046,"Killough Bay","Marine Protected Area (OSPAR)","Killough Bay Marine Protected Area (OSPAR)","555557046_Killough_Bay.pdf","UK"
"454","United Kingdom",555577875,"Southern Waters of Gibraltar","Special Protection Area (Birds Directive)","Southern Waters of Gibraltar Special Protection Area (Birds Directive)","555536253_Southern_Waters_of_Gibraltar_Management_Scheme_2012.pdf","UK"
"455","United Kingdom",555583026,"South Dorset","Marine Protected Area (OSPAR)","South Dorset Marine Protected Area (OSPAR)","Advice_555583026_South Dorset_NaturalEngland.pdf","UK"
"456","United Kingdom",555556994,"Firth of Lorn","Marine Protected Area (OSPAR)","Firth of Lorn Marine Protected Area (OSPAR)","555556994_Firth_of_Lorn.pdf","UK"
"457","United Kingdom",555635800,"Morecambe Bay and Duddon Estuary","Special Protection Area (Birds Directive)","Morecambe Bay and Duddon Estuary Special Protection Area (Birds Directive)","Advice_555635800_Morecambe Bay and Duddon Estuary_NaturalEngland.pdf","UK"
"461","United Kingdom",555556978,"East Rockall Bank","Marine Protected Area (OSPAR)","East Rockall Bank Marine Protected Area (OSPAR)","Advice_555556978_East Rockall Bank_Combo.pdf","UK"
"462","United Kingdom",555583052,"East of Gannet & Montrose Fields","Marine Protected Area (OSPAR)","East of Gannet & Montrose Fields Marine Protected Area (OSPAR)","Advice_555583052_East_of_Gannet_Montrose_Fields_Combo.pdf","UK"
"463","United Kingdom",341128,"Dungeness, Romney Marsh and Rye Bay","Site of Special Scientific Interest (UK)","Dungeness, Romney Marsh and Rye Bay Site of Special Scientific Interest (UK)","Advice_341128_Dungeness Romney Marsh and Rye Bay_NaturalEngland.pdf","UK"
"464","United Kingdom",555557136,"Red Bay","Marine Protected Area (OSPAR)","Red Bay Marine Protected Area (OSPAR)","555557136_Red_Bay.pdf","UK"
"465","United Kingdom",555541819,"Chesil Beach and The Fleet","Special Protection Area (Birds Directive)","Chesil Beach and The Fleet Special Protection Area (Birds Directive)","Advice_555556951_ChesilBeach_ and_the_Fleet_NaturalEngland.pdf","UK"
"467","United Kingdom",555583049,"Firth of Forth Banks Complex","Marine Protected Area (OSPAR)","Firth of Forth Banks Complex Marine Protected Area (OSPAR)","Advice_555583049_Firth_of_Forth_Banks_Complex_Combo.pdf","UK"
"469","United Kingdom",555556914,"Alde Ore and Butley Estuaries","Marine Protected Area (OSPAR)","Alde Ore and Butley Estuaries Marine Protected Area (OSPAR)","Advice_555556915_Alde Ore and Butley Estuaries_NaturalEngland.pdf","UK"
"470","United Kingdom",555557147,"Sanday","Marine Protected Area (OSPAR)","Sanday Marine Protected Area (OSPAR)","Advice_555557147_Sanday.pdf","UK"
"471","United Kingdom",555588162,"North-West of Jones Bank","Marine Conservation Zone","North-West of Jones Bank Marine Conservation Zone","Advice_555588162_North_West of Jones Bank_Combo.pdf","UK"
"476","United Kingdom",68293,"Exe Estuary","Ramsar Site, Wetland of International Importance","Exe Estuary Ramsar Site, Wetland of International Importance","Advice_68293_Exe_Estuary_NaturalEngland.pdf","UK"
"477","United Kingdom",555541780,"Coquet Island","Special Protection Area (Birds Directive)","Coquet Island Special Protection Area (Birds Directive)","Advice_555541780_Coquet Island_NaturalEngland.pdf","UK"
"478","United Kingdom",555557014,"Haisborough, Hammond and Winterton","Marine Protected Area (OSPAR)","Haisborough, Hammond and Winterton Marine Protected Area (OSPAR)","Advice_555557014_Haisborough_Hammond_Winterton_NaturalEngland.pdf","UK"
"479","United Kingdom",555556996,"Firth of Tay and Eden Estuary","Marine Protected Area (OSPAR)","Firth of Tay and Eden Estuary Marine Protected Area (OSPAR)","Advice_555556995_Firth_of_Tay_and_Eden_Estuary.pdf","UK"
"480","United Kingdom",555535659,"Cardigan Bay/ Bae Ceredigion","Site of Community Importance (Habitats Directive)","Cardigan Bay/ Bae Ceredigion Site of Community Importance (Habitats Directive)","Advice_555556947_Cardigan_Bay_CCW.pdf","UK"
"481","United Kingdom",68274,"Chichester and Langstone Harbours","Ramsar Site, Wetland of International Importance","Chichester and Langstone Harbours Ramsar Site, Wetland of International Importance","Advice_555556952_Chichester and Langstone Harbours_NaturalEngland.pdf","UK"
"482","United Kingdom",555557008,"Glannau Môn: Cors heli / Anglesey Coast: Saltmarsh","Marine Protected Area (OSPAR)","Glannau Môn: Cors heli / Anglesey Coast: Saltmarsh Marine Protected Area (OSPAR)","555557008_Glannau_Mon_Cors_Heli_Anglesey Coast_Saltmarsh_SAC.pdf","UK"
"484","United Kingdom",555592571,"The Mersey Narrows and North Wirral Foreshore","Ramsar Site, Wetland of International Importance","The Mersey Narrows and North Wirral Foreshore Ramsar Site, Wetland of International Importance","Advice_555592571_The Mersey Narrows and North Wirral Foreshore_NaturalEngland.pdf","UK"
"485","United Kingdom",555583027,"East of Haig Fras","Marine Protected Area (OSPAR)","East of Haig Fras Marine Protected Area (OSPAR)","Advice_555583027_East of Haig Fras_Combo.pdf","UK"
"486","United Kingdom",555535941,"Morfa Harlech A Morfa Dyffryn","Site of Community Importance (Habitats Directive)","Morfa Harlech A Morfa Dyffryn Site of Community Importance (Habitats Directive)","555535941_Morfa_Harlech_a_Morfa_Dyffryn.pdf","UK"
"489","United Kingdom",95287,"Dengie","Ramsar Site, Wetland of International Importance","Dengie Ramsar Site, Wetland of International Importance","Advice_555556967_Dengie_Mid-Essex Coast Phase 1_NaturalEngland.pdf","UK"
"491","United Kingdom",555583017,"Pagham Harbour","Marine Protected Area (OSPAR)","Pagham Harbour Marine Protected Area (OSPAR)","Advice_555557116_Pagham Harbour_MCZ_NaturalEngland.pdf","UK"
"492","United Kingdom",555556959,"Croker Carbonate Slabs","Marine Protected Area (OSPAR)","Croker Carbonate Slabs Marine Protected Area (OSPAR)","Advice_555556959_Croker Carbonate Slabs_Combo.pdf","UK"
"493","United Kingdom",555588171,"Western Channel","Marine Conservation Zone","Western Channel Marine Conservation Zone","Advice_555588171_Western Channel_Combo.pdf","UK"
"494","United Kingdom",555557039,"Isles of Scilly Complex","Marine Protected Area (OSPAR)","Isles of Scilly Complex Marine Protected Area (OSPAR)","Advice_555557039_Isles_of_Scilly_Complex_NaturalEngland.pdf","UK"
"495","United Kingdom",555557183,"Strangford Lough","Marine Protected Area (OSPAR)","Strangford Lough Marine Protected Area (OSPAR)","555557183_Strangford Lough_new.pdf","UK"
"497","United Kingdom",555583030,"Swallow Sand","Marine Protected Area (OSPAR)","Swallow Sand Marine Protected Area (OSPAR)","Advice_555583030_Swallow sand_Combo.pdf","UK"
"498","United Kingdom",555556967,"Dengie (Mid-Essex Coast Phase 1)","Marine Protected Area (OSPAR)","Dengie (Mid-Essex Coast Phase 1) Marine Protected Area (OSPAR)","Advice_555556967_Dengie_Mid-Essex Coast Phase 1_NaturalEngland.pdf","UK"
"499","United Kingdom",555535816,"Orfordness - Shingle Street","Site of Community Importance (Habitats Directive)","Orfordness - Shingle Street Site of Community Importance (Habitats Directive)","Advice_555535816_Orfordness - Shingle Street_NaturalEngland.pdf","UK"
"500","United Kingdom",555556950,"Chesil and the Fleet","Marine Protected Area (OSPAR)","Chesil and the Fleet Marine Protected Area (OSPAR)","Advice_555556950_Chesil_ and_the_Fleet_NaturalEngland.pdf","UK"
"501","United Kingdom",555557080,"Margate and Long Sands","Marine Protected Area (OSPAR)","Margate and Long Sands Marine Protected Area (OSPAR)","Advice_555557080_Margate_Long_Sands_NaturalEngland.pdf","UK"
"503","United Kingdom",555541846,"Anglesey Terns / Morwenoliaid Ynys Môn","Special Protection Area (Birds Directive)","Anglesey Terns / Morwenoliaid Ynys Môn Special Protection Area (Birds Directive)","555536004_Cemlyn_bay_the_Skerries_Yynys_Feurig.pdf","UK"
"504","United Kingdom",555583061,"West Shetland Shelf","Marine Protected Area (OSPAR)","West Shetland Shelf Marine Protected Area (OSPAR)","Advice_555583061_West_Shetland_Shelf_Combo.pdf","UK"
"506","United Kingdom",555583059,"The Barra Fan and Hebrides Terrace Seamount","Marine Protected Area (OSPAR)","The Barra Fan and Hebrides Terrace Seamount Marine Protected Area (OSPAR)","Advice_555583059_The_Barra_Fan_and_Hebrides_Terrace_Seamount_Combo.pdf","UK"
"508","United Kingdom",220065,"Lough Foyle","Ramsar Site, Wetland of International Importance","Lough Foyle Ramsar Site, Wetland of International Importance","220065_Lough_Foyle.pdf","UK"
"509","United Kingdom",555588152,"Cromer Shoal Chalk Beds","Marine Conservation Zone","Cromer Shoal Chalk Beds Marine Conservation Zone","Advice_555588152_Cromer Shoal Chalk Beds_Natural England.pdf","UK"
"510","United Kingdom",555556917,"Anton Dohrn Seamount","Marine Protected Area (OSPAR)","Anton Dohrn Seamount Marine Protected Area (OSPAR)","Advice_555556917_Anton_Dohrn_Seamount_Combo.pdf","UK"
"512","United Kingdom",555557134,"Rathlin Island","Marine Protected Area (OSPAR)","Rathlin Island Marine Protected Area (OSPAR)","555557133_Rathlin_Island.pdf","UK"
"513","United Kingdom",555556915,"Alde-Ore Estuary","Marine Protected Area (OSPAR)","Alde-Ore Estuary Marine Protected Area (OSPAR)","Advice_555556915_Alde_Ore_Estuary_NaturalEngland.pdf","UK"
"514","United Kingdom",555583050,"North-west Orkney","Marine Protected Area (OSPAR)","North-west Orkney Marine Protected Area (OSPAR)","Advice_555583050_North_West_Orkney_Combo.pdf","UK"
