report,sort_order,disc_of_climate_effects_on_park_ecological,disc_of_climate_effects_on_park_physical,disc_of_climate_effects_on_park_sociological,climate_objectives,climate_strategies_actions,detailed_methods,establishes_baseline_conditions,indicators,metrics,thresholds,targets,indicat_thresh_metrics_explicitly_linked_to_climate,commitment_to_climate_monitoring,references_other_monitoring,other_monitoring
13916_13034_Wallops_Chincoteague.pdf,201,yes,yes,yes,yes,yes,yes,yes,yes,planned,some,some,yes,yes,yes,"NASA Wallops Flight Facility, The Marine Science Consortium, and the USFWS; North Atlantic LCC; others"
555586775_North-Fork-St-Lucie-AP-Management-Plan.pdf,202,yes,yes,no,yes,yes,no,planned,yes,planned,some,some,yes,yes,yes,
95312_CT_CELCP_Plan_January_2015.pdf,203,yes,yes,yes,no,no,no,no,no,no,no,no,na,no,yes,NOAA sea level rise viewer
555586880_SFB_NERR.pdf,204,yes,yes,yes,yes,yes,no,ongoing,yes,no,no,no,no,yes,yes,
555557068_Loch_nam_Madadh.pdf,205,no,no,no,no,no,no,ongoing,yes,planned,no,yes,no,yes,no,
666621_Swanquarter_NWR.pdf,206,yes,yes,no,no,no,no,planned,yes,planned,no,some,no,yes,no,
555586834_Nisqually Reach.pdf,207,yes,yes,no,yes,yes,no,planned,yes,planned,no,no,no,yes,yes,
315003_Moriah Harbour Cay National Park.pdf,208,no,no,no,no,no,no,no,no,no,no,no,na,yes,yes,Bahamas National Trust
5555752_GreatBay_NWR.pdf,209,yes,yes,no,yes,yes,no,planned,yes,planned,planned,some,yes,yes,yes,Fish and Wildlife Service Rising to the Challenge: Strategic Plan and Action Plan for Responding to Accelerating Climate Change; North Pacific Coast Landscape Conservation Cooperative; other academic research
75004_Dungeness.pdf,210,yes,yes,no,no,yes,no,planned,yes,planned,no,some,yes,yes,yes,Fish and Wildlife Service Rising to the Challenge: Strategic Plan and Action Plan for Responding to Accelerating Climate Change
Advice_68296_Carmarthen_Bay_CCW.pdf,211,yes,yes,no,no,no,no,planned,yes,planned,no,yes,no,no,no,
75128_SealBeachNWR.pdf,212,yes,yes,no,yes,yes,no,planned,yes,planned,no,planned,yes,yes,yes,North Orange County Integrated Regional Watershed Management Plan
220003_HawaiianIslands_NMS.pdf,213,yes,yes,no,yes,yes,no,planned,planned,planned,planned,no,yes,yes,yes,"University of Hawaii Sea Grant program, the Pacific Islands Climate Change Cooperative, the Environmental Protection Agency, and other state and federal agencies; Resilience to a Changing Climate Action Plan"
555585657_AncloteKeyPreserveSP.pdf,214,no,no,no,no,no,no,ongoing,yes,yes,no,some,no,yes,yes,
Advice_555556953_Colne Estuary_Mid-Essex Coast Phase 2.pdf,215,yes,yes,no,no,no,no,planned,yes,yes,no,yes,yes,yes,no,
555586740_Channel_Islands_National_Marine_Sanctuary.pdf,216,yes,yes,yes,yes,yes,no,planned,planned,planned,no,no,yes,yes,yes,
312071_Maury Island.pdf,217,yes,yes,no,no,no,no,ongoing,yes,yes,no,no,no,no,no,
55551618_CHN_DFO_2019_SK-B_MgmtPlan.pdf,218,no,no,no,no,no,no,planned,planned,planned,planned,planned,no,no,no,
1024_Biscayne_National_Park.pdf,219,yes,yes,yes,yes,yes,no,planned,yes,yes,planned,no,no,yes,yes,NPS Climate Change Response Strategy
555586989_Chesapeake Bay National Estuarine Research Reserve_Virginia.pdf,220,yes,yes,no,yes,yes,no,ongoing,yes,planned,no,no,yes,yes,yes,NOAA NGS and CO-OPS
67763_Kakadu_national_park.pdf,221,yes,yes,yes,yes,yes,no,ongoing,yes,yes,planned,no,yes,yes,no,
Farallones_NMS_FMP_12_04_14.pdf,222,no,no,no,yes,yes,no,ongoing,planned,planned,no,no,yes,yes,yes,
